Raw Material  Number,Raw Material Sizes (Length),Raw Material Sizes (Breadth)
2110002,2500,1250
2110002,2000,1250
2110006,,1250
2110001,2500,1250
2110001,2000,1250
2110001,1970,1250
2110015,,1250
2021127,2500,1250
2021127,2500,1250
2110002,,
2110002,,
2110006,,
2110001,1970,1250
2110001,2000,1250
2110015,1250,
2110001,1970,1250
2110001,2000,1250
2110015,,1250
2110001,,
2110015,,
2020404,2500,1250
2020194,2500,1250
2020010,2500,1250
2020005,2500,1250
2021199,,1250
2021141,1580,305
2021141,1580,305
2020009,2500,1260
2020009,2500,1260
2020009,1035,465
2021364,1250,98.5
2021364,1250,98.5
2021364,1250,98.5
2021364,1250,98.5
2021163,1420,380
2021163,1650,380
2021141,1600,354
2021141,1420,380
2021141,1600,354
2021141,1420,380
2020005,,
2020005,,
2020009,,
2020009,,
2021141,1600,354
2020002,2000,415
2020002,2000,415
2020003,,
2020002,1030,855
2020002,1030,855
2020002,1035,465
2020002,1110,317
2020002,1220,206
2020002,1220,424
2020002,1500,1250
2020002,1500,1250
2020002,1570,415
2020002,1954.5,1250
2020002,1954.5,1250
2020002,1954.5,415
2020002,1954.5,415
2020002,1954.5,425
2020002,1954.5,465
2020002,1954.5,465
2020002,1954.5,1250
2020002,1955,415
2020002,1955,465
2020002,1955,690
2020002,1960,465
2020002,1960,940
2020002,2000,1115
2020002,2000,1219
2020002,2000,1235
2020002,2000,1250
2020002,2000,415
2020002,2000,415
2020002,2030,900
2020002,2060,855
2020002,2100,1040
2020002,2100,1040
2020002,2150,1050
2020002,2150,1050
2020002,2150,1250
2020002,2150,1250
2020002,2150,900
2020002,2200,1000
2020002,2300,1000
2020002,2500,1250
2020002,2600,1250
2020002,2600,1250
2020002,2620,1250
2020002,2650,1250
2020002,2800,1250
2020002,2800,1250
2020002,3000,1250
2020002,860,986.5
2020002,860,986.5
2020002,986.5,860
2020003,1030,855
2020003,1110,317
2020003,1220,206
2020003,1220,424
2020003,1250,230.4
2020003,1250,230.4
2020003,1500,1250
2020003,1750,1250
2020003,1925,1250
2020003,1925,540
2020003,1951,690.2
2020003,1951,690.2
2020003,1954.5,415
2020003,1955,415
2020003,1955,415
2020003,1955,690
2020003,1960,1250
2020003,1960,490
2020003,1980,950
2020003,2000,1115
2020003,2000,1115
2020003,2000,1219
2020003,2000,1250
2020003,2000,1250
2020003,2000,415
2020003,2070,1250
2020003,2100,1040
2020003,2200,1000
2020003,2230,1250
2020003,2500,1250
2020003,2500,1250
2020003,2500,1500
2020003,2500,415
2020003,2650,1250
2020003,2800,1250
2020003,2800,1250
2020003,3000,1250
2020005,1010,1260
2020005,1030,855
2020005,1110,317
2020005,1220,206
2020005,1220,424
2020005,1250,424
2020005,1317,1250
2020005,1930,1250
2020005,2000,1000
2020005,2000,1115
2020005,2000,1219
2020005,2000,1250
2020005,2000,415
2020005,2070,1250
2020005,2070,1250
2020005,2100,1040
2020005,2200,1000
2020005,2200,1250
2020005,2200,1250
2020005,2250,1250
2020005,2500,1250
2020005,2500,1500
2020005,2600,1500
2020005,2780,1250
2020005,2800,1250
2020005,2800,1250
2020005,2800,1500
2020005,3000,1250
2020005,650,1260
2020005,986.5,860
2020009,1110,317
2020009,120,320
2020009,1250,230.4
2020009,1250,320
2020009,1343,1250
2020009,1954.5,465
2020009,2000,1115
2020009,2000,415
2020009,2100,1040
2020009,2200,1000
2020009,2200,1000
2020009,2200,1220
2020009,2200,1250
2020009,2500,1000
2020009,2500,1200
2020009,2500,1250
2020009,2500,1500
2020009,2560,1200
2020009,2560,1250
2020009,2800,1250
2020009,3000,1250
2020009,320,120
2020009,320,120
2020009,1035,465
2020010,2000,230
2020010,2500,1250
2020010,2500,1250
2020194,2500,1250
2020194,2500,1250
2020404,1152,1250
2020404,2500,1220
2020404,2500,1250
2020404,2800,1500
2021127,2500,1205
2021127,2500,1250
2021141,1580,305
2021141,305,158
2021141,305,158
2021141,305,1580
2021141,308,234
2021141,1420,234
2021141,1420,234
2021163,1650,234
2021163,1650,234
2021172,354,234
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021114,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021115,,1250
2021199,,1250
2021199,,1250
2021199,,1250
2021199,,1250
2021199,,1250
2021179,,1250
2021179,,1250
2021179,,1250
2021179,,1250
2021166,,1250
2021166,,1250
2021166,,1250
2021166,,1250
2021166,,1250
2021166,,1250
2110015,,1250
2110015,,1250
2110015,,1250
2110006,,1250
2110006,,1250
