From.Material.Number,From.Material.Name,Coil.Width,Moving.Avg.Price,To.Material.Number,To.Material.Name,Density,Sheet.Thickness,Sheet.Length,Sheet.Breadth,Moving.Avg.Price,MOQ,Wastage,PKG.Cost,Transport.Cost,Processing.Cost,Conversion.Cost
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,1030,855,37,4000,4,0.6,0.3,2.9,3.8
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,1500,1250,35.5,1000,1,0.45,0.25,0.725,1.425
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,1954,465,37,4000,4,0.6,0.3,2.9,3.8
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,1960,465,37,4000,4,0.6,0.3,2.9,3.8
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2000,415,37,4000,4,0.6,0.3,2.9,3.8
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2100,1040,37,4000,4,0.6,0.3,2.9,3.8
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2150,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2500,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2600,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2650,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,2800,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,3000,1250,35.5,1000,1,0.45,0.25,0.675,1.375
2021114,CRCA - 1.2mm Coil D Grade IS-513,1250,32.5,2020002,CRCA - 1.2mm Sht D Grade IS-513,0.0000086,1.2,986.5,860,37,4000,4,0.6,0.3,2.9,3.8
2021115,CRCA - 1.5mm Coil D Grade IS-513,1250,32.5,2020003,CRCA - 1.5mm Sht D Grade IS-513,0.0000086,1.5,1500,1250,35.5,1000,1,0.45,0.25,0.75,1.45
2021115,CRCA - 1.5mm Coil D Grade IS-513,1250,32.5,2020003,CRCA - 1.5mm Sht D Grade IS-513,0.0000086,1.5,1750,1250,35.5,1000,1,0.45,0.25,0.75,1.45
2021115,CRCA - 1.5mm Coil D Grade IS-513,1250,32.5,2020003,CRCA - 1.5mm Sht D Grade IS-513,0.0000086,1.5,1925,540,37,4000,4,0.6,0.3,2.9,3.8
2021115,CRCA - 1.5mm Coil D Grade IS-513,1250,32.5,2020003,CRCA - 1.5mm Sht D Grade IS-513,0.0000086,1.5,1925,710,37,4000,4,0.6,0.3,2.9,3.8
2021115,CRCA - 1.5mm Coil D Grade IS-513,1250,32.5,2020003,CRCA - 1.5mm Sht D Grade IS-513,0.0000086,1.5,1951,690.2,37,4000,4,0.6,0.3,2.9,3.8
