From.Material.Number,From.Material.Name,Coil.Width,Moving.Avg.Price,To.Material.Number,To.Material.Name,Density,Sheet.Thickness,Sheet.Length,Sheet.Breadth,Moving.Avg.Price,MOQ,Wastage,PKG.Cost,Transport.Cost,Processing.Cost,Conversion.Cost
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1850,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1820,710,43.5,4000,,0.45,0.25,2.9,3.6
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2500,1000,43.5,4000,,0.45,0.25,2.9,3.6
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2500,900,43.5,4000,,0.45,0.25,2.9,3.6
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2800,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2750,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2700,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2650,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2600,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2500,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2450,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2440,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2400,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2350,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2330,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2300,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2250,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2200,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2150,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2100,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2070,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2050,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,2000,1250,41,1000,,0.45,0.25,0.675,1.375
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1950,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1900,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1850,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1800,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1750,1250,41.25,1000,,0.45,0.25,0.725,1.425
2021381,"CRCA-IS 513,D GRADE, 0.8 x 1250mmxCoil",1250,38,2021129,CRCA - 0.8mm Sht D Grade IS-513,,0.8,1700,1250,41.25,1000,,0.45,0.25,0.725,1.425
