Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPR,fromPR.1
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-12083A,,870-17617,200,258,101,2011180,2010370,2500,1250,0.61,1,,,,0,121.999999999932,9.943552,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-81770B,,870-23577A,100,1030,978,,2030590,2000,1220,10.24,,,,,0,524,17.4311475409836,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-818690B,,870-27140A,100,890,1220,,2030003,2500,1000,7,,,,,0,699.999999999475,13.136,,,,0,0
3A,10,1001,2000,01-09-2016,01-09-2016,11,ACRC-501,0M-6489G,,870-10777D,2000,602,120.5,2110015,2110001,2500,1250,1.04,,,,,0,743.28371242652,7.14752,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-77367A,,870-0174,100,950,895,,2030033,1820,1220,4.77,1,,,,0,477.000000000048,23.4147000540443,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-77367A,,870-0177,100,408,55.5,2011180,2010370,2500,1250,0.43,1,,,,0,43.0000000000155,2.17792,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,870-26692B,,870-26692B,100,267,171,,2030001,2500,1220,0.25,,,,,0,25,5.69209836065574,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,870-0179A,,870-0179A,100,226.5,183.5,,2030001,2500,1220,0.17,,,,,0,17.0000000000014,10.0609344262295,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-12083A,,870-17616,100,662,446,2011180,2010370,2500,1250,8.18,1,,,,0,818.000000000376,43.311616,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-818640B,,870-27105A,100,558,114.5,2011180,2010370,2500,1250,1.11,1,,,,0,110.999999999988,14.130496,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-77367A,,870-62848,100,408,67.5,2011180,2010370,2500,1250,0.48,1,,,,0,48.0000000000307,2.17792,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-818690B,,870-26618,100,631,132,,2030003,2500,1000,0.87,,,,,0,87.0000000000244,30.03472,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-77367A,,870-26647,200,145,97,,2030033,2440,1220,0.065,,,,,0,13.0000000000062,5.5025530771298,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-817548A,,870-26788,100,505,125,,2030003,2500,1000,0.41,,,,,0,40.9999999999984,19.2,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,0M-818690B,,870-26687A,100,275,190,,2030003,2500,1000,0.32,,,,,0,32,5.95,,,,0,0
3A,10,1001,200,01-09-2016,01-09-2016,11,,S1A81002D,,S1A81002D,200,710,380,,2021163,1420,380,3.176895,,,,,0,635.378999999827,0,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL2025E100,870-26693A,,870-26693A,100,158,58,,2030003,2500,1000,0.08,,,,,0,8,5.42752,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,870-94243A,,870-94243A,100,360,120.4,2011180,2010370,2500,1250,1.22,1,,,,0,121.999999999932,16.77952,,,,0,0
2A,10,1001,100,01-09-2016,01-09-2016,8,PVSCL18NA,0M-818640B,,870-27104,100,595,98,2011180,2010370,2500,1250,1,1,,,,0,100,6.704,,,,0,0
