Order.No,Item,Plant,Order.Req,Forecast.Date,Req.Delivery.Date,Mfg.Lead.time,KIT.Material,FG.Material,FG.Net.Req,SFG.Material,SFG.Net.Req,FG.SFG.Length,FG.SFG.Breadth,Coil,Raw.Material,RM.Length,RM.Breadth,RM.Qty.Set,Priority,Plant.Considered,Batch,Storage.Location,fromStock,Purchase,wastage,Remarks,PO.Number,PR.Number,fromPO,fromPR
781600000002,0,1002,100,29.04.2016,05.05.2016,3,                  ,                  ,,870-11759A        ,200,233,58,,2001001,233,58,3,2,,,,0,599.9999999997,0,,,,0,0
781600000002,0,1002,100,29.04.2016,05.05.2016,3,                  ,                  ,,870-11760A        ,300,125,58,,2001011,125,58,5,2,,,,0,1500,0,,,,0,0
220000028,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11759A        ,14,233,58,,2001001,233,58,3,2,,,,0,41.999999999979,0,Lead over due Date,,,0,0
220000028,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11760A        ,21,125,58,,2001011,125,58,5,2,,,,0,105,0,Lead over due Date,,,0,0
220000028,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11761         ,14,120,41,,2001001,120,41,3,2,,,,0,41.999999999979,0,Lead over due Date,,,0,0
220000029,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11759A        ,160,233,58,,2001001,233,58,3,2,,,,0,479.99999999976,0,Lead over due Date,,,0,0
220000029,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11760A        ,240,125,58,,2001011,125,58,5,2,,,,0,1200,0,Lead over due Date,,,0,0
220000029,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11761         ,160,120,41,,2001001,120,41,3,2,,,,0,479.99999999976,0,Lead over due Date,,,0,0
220000030,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11759A        ,160,233,58,,2001001,233,58,3,2,,,,0,479.99999999976,0,Lead over due Date,,,0,0
220000030,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11760A        ,240,125,58,,2001011,125,58,5,2,,,,0,1200,0,Lead over due Date,,,0,0
220000030,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11761         ,160,120,41,,2001001,120,41,3,2,,,,0,479.99999999976,0,Lead over due Date,,,0,0
781600000002,0,1002,100,29.04.2016,05.05.2016,3,                  ,                  ,,870-11761         ,200,120,41,,2001001,120,41,3,2,,,,0,599.9999999997,0,,,,0,0
220000028,10,1002,40,17.04.2016,18.04.2016,3,ACRC 100          ,0M-61000C         ,17,2101771-002       ,320,450,350,,2040034,800,420,3.67,1,1002,842,PRD ,537600000.000328,0,53.125,Lead over due Date, , ,0,0
220000029,10,1002,40,17.04.2016,18.04.2016,3,ACRC 100          ,0M-61000C         ,80,2101771-002       ,320,450,350,,2040034,800,420,3.67,1,1002,842,PRD ,537600000.000328,0,53.125,Lead over due Date, , ,0,0
220000027,10,1002,10,17.04.2016,18.05.2016,3,ACRC 100          ,0M-61000C         ,0,2101771-002       ,76,450,350,,2040034,800,420,3.67,1,1002,842,PRD ,127680000.000078,0,53.125,, , ,0,0
220000030,10,1002,40,17.04.2016,18.04.2016,3,ACRC 100          ,0M-61000C         ,80,2101771-002       ,320,450,350,,2040034,800,420,3.67,1,1002,842,PRD ,537600000.000328,0,53.125,Lead over due Date, , ,0,0
220000028,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,2101771-002       ,320,450,350,,2000012,2500,1250,3.67,2,,,,,,,,,,,
220000028,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11761         ,14,120,41,,2000001,2000,1200,3,1,,,,,,,,,,,
220000029,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11760A        ,240,125,58,,2000007,1800,1000,6,1,,,,,,,,,,,
220000029,10,1002,40,17.04.2016,18.04.2016,3,                  ,                  ,,870-11761         ,160,120,41,,2000001,2000,1200,3,1,,,,,,,,,,,
220000027,10,1002,10,17.04.2016,18.05.2016,3,                  ,                  ,,2101771-002       ,76,450,350,,2000012,2500,1250,3.67,2,,,,,,,,,,,
220000027,10,1002,10,17.04.2016,18.05.2016,3,                  ,                  ,,870-10728E        ,76,653,208,,2000011,1900,1000,2.43,0,,,,,,,,,,,
