Order No,Item,Plant,Order Req,Forecast Date,Req Delivery Date,Mfg Lead time,KIT Material,FG Material,FG Net Req,SFG Material,SFG Net Req,FG/SFG Length,FG/SFG Breadth,Raw Material,RM Length,RM Breadth,RM Thickness,RM Density,RM Qty/Set,Priority,Moving Average Price,RM Lead Time
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,ACRC 100          ,0M-61000C         ,0.000        ,2101771-002       ,      76.000 ,        450.000 ,        350.000 ,000000000002040034,        0.000 ,        0.000 ,          1.000 ,          5.000 ,        3.670 ,01,     275.00 ,20
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,2101771-002       ,      76.000 ,        450.000 ,        350.000 ,000000000002000012,     2500.000 ,     1250.000 ,          3.000 ,          2.000 ,        3.670 ,02,      54.50 ,20
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,0M-61001A         ,      38.000 ,2102966-002       ,0.000        ,        900.000 ,        760.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,OM-61003B         ,0.000        ,2102979-001       ,0.000        ,        650.000 ,        450.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,2103068-BRT       ,0.000        ,        650.000 ,        450.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,870-10728E        ,      76.000 ,        653.000 ,        208.000 ,000000000002000011,     1900.000 ,     1000.000 ,          2.000 ,          6.000 ,        2.430 ,00,      54.50 ,20
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,870-10734D        ,0.000        ,        750.000 ,        320.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,870-11401B        ,0.000        ,        499.600 ,         46.080 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,870-11759A        ,0.000        ,        233.000 ,         58.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
0220000027  ,000010,1002,        10.000 ,17.04.2016,18.05.2016, 3 ,                  ,                  ,             ,870-11760A        ,0.000        ,        125.000 ,         58.000 ,                  ,        0.000 ,        0.000 ,          0.000 ,          0.000 ,        0.000 ,00,       0.00 , 0
