Raw Material,Plant,Batch,RM Length,RM Breadth,RM Thickness,RM Density,Material Description,Warehouse Stock,Storage Location,Min Order Qty,Open PRs,Open POs,Del Date,RM Lead Time,Moving Average Price,UOM,Type
2000001           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000001           ,1002,0000000820,2200.000                      ,1000.000                      ,          1.000 ,          4.000 ,EGI-0.9mm Sht Secc- P                   ,    1000.000 ,IND ,       0.000 ,             ,             , ,20 ,     42.50 ,KG ,SHEET
2000001           ,1003,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000001           ,1003,0000000837,2000.000                      ,1200.000                      ,          1.000 ,          4.000 ,EGI-0.9mm Sht Secc- P                   ,    1000.000 ,IND ,       0.000 ,             ,             , , 0 ,    150.00 ,KG ,SHEET
2000007           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000007           ,1002,0000000822,1800.000                      ,1000.000                      ,          1.500 ,          3.250 ,EGI - 1.5mm Sht Secc- P                 ,    1000.000 ,IND ,       0.000 ,             ,             , ,20 ,     42.50 ,KG ,SHEET
2000007           ,1003,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000007           ,1003,0000000839,1800.000                      ,1000.000                      ,          1.500 ,          3.250 ,EGI - 1.5mm Sht Secc- P                 ,    1000.000 ,IND ,       0.000 ,             ,             , ,20 ,     78.00 ,KG ,SHEET
2000011           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,        1000 , , 0 ,      0.00 ,   ,
2000011           ,1002,0000000818,2500.000                      ,1250.000                      ,          2.000 ,          6.000 ,EGI-2.0mm Sht Secc-AFP with lami        ,    1000.000 ,IND ,       0.000 ,             ,             , ,20 ,     54.50 ,KG ,SHEET
2000011           ,1003,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000011           ,1003,0000000830,1200.000                      ,1000.000                      ,          2.000 ,          6.000 ,EGI-2.0mm Sht Secc-AFP with lami        ,    1000.000 ,IND ,       0.000 ,             ,             , ,10 ,     12.00 ,KG ,SHEET
2000012           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000012           ,1002,0000000817,1200.000                      ,1000.000                      ,          2.000 ,          3.000 ,EGI-2.0mm Sht Secc-AFP                  ,     100.000 ,IND ,       0.000 ,             ,             , ,20 ,     54.50 ,KG ,SHEET
2000012           ,1002,0000000819,2300.000                      ,1200.000                      ,          2.000 ,          3.000 ,EGI-2.0mm Sht Secc-AFP                  ,    1000.000 ,IND ,       0.000 ,             ,             , ,20 ,     54.50 ,KG ,SHEET
2000012           ,1003,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2000012           ,1003,0000000836,2500.000                      ,1250.000                      ,          2.000 ,          3.000 ,EGI-2.0mm Sht Secc-AFP                  ,    1000.000 ,IND ,       0.000 ,             ,             , ,11 ,     67.00 ,KG ,SHEET
2001001           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2001001           ,1002,0000000821,                              ,1200.000                      ,          1.000 ,          4.000 ,EGI-P 0.9mm Coil Secc- P                ,    1000.000 ,IND ,    6000.000 ,             ,             , ,20 ,     40.00 ,KG ,COIL
2001001           ,1003,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2001001           ,1003,0000000838,                              ,1250.000                      ,          1.000 ,          4.000 ,EGI-P 0.9mm Coil Secc- P                ,    1000.000 ,IND ,       0.000 ,             ,             , ,15 ,    110.00 ,KG ,COIL
2001011           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2001011           ,1002,0000000823,                              ,1000.000                      ,          1.500 ,          2.500 ,EGI-P 1.5mm Coil Secc- P                ,    1000.000 ,IND ,    6000.000 ,             ,             , ,20 ,     40.00 ,KG ,COIL
2040034           ,1002,          ,                              ,                              ,          0.000 ,          0.000 ,                                        ,       0.000 ,    ,       0.000 ,             ,             , , 0 ,      0.00 ,   ,
2040034           ,1002,0000000842,800.000                       ,420.000                       ,          1.000 ,          5.000 ,EB-SS-0.8mm Sht SUS 301 Full Hard       ,     126.000 ,PRD ,       0.000 ,             ,             , ,20 ,    275.00 ,KG ,END BAND
