CIR No / Sales order no/Production order no,Plant,CIR/Sales order No./Rejection Production order requirement,Forecast Month,Required delivery  date from today (Days),Manufacturing Lead time (Repleshinshment Lead time),Kit Number,FG Material number,Semi Finished Material Number,Finished/Semi FinishedMaterial Sizes (Length & Breadth),Breadth,Raw Material  Number,Raw Material Sizes (Length),Raw Material Sizes (Breadth),Raw Material required quantity,Thickness,Density,Priority List Mentioned in BOM,Moving.Average.Price,Lead.Times
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110002,2500,1250,0.82,1.2,0.0000086,1,36,6
A1,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110002,2000,1250,0.82,1.2,0.0000086,2,36,6
A1,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110006,,1250,0.82,1.2,0.0000086,3,32,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11401B,499.6,46.08,2110001,2500,1250,0.36,1.2,0.0000086,1,36,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11401B,499.6,46.08,2110001,2000,1250,0.36,1.2,0.0000086,2,36,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11401B,499.6,46.08,2110001,1970,1250,0.36,1.2,0.0000086,4,36,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11401B,499.6,46.08,2110015,,1250,0.36,1.2,0.0000086,3,32,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11355A,74,44.55,2021127,2500,1250,0.08,1.2,0.0000086,,36,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-11356A,74,44.55,2021127,2500,1250,0.08,1.2,0.0000086,,36,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-10728E,653,208,2110002,,,2.73,1.2,0.0000086,1,32,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-10728E,653,208,2110006,,1250,2.73,1.2,0.0000086,2,32,6
,1003,500,01-03-2016,45,11,ACRC-501,0M-6489G,870-10734D,1955,165,2110001,1970,1250,4.2,1.2,0.0000086,1,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10734D,1955,165,2110001,2000,1250,4.2,1.2,0.0000086,3,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10734D,1955,165,2110015,,1250,4.2,1.2,0.0000086,2,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10733D,1955,165,2110001,1970,1250,4.2,1.2,0.0000086,1,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10733D,1955,165,2110001,2000,1250,4.2,1.2,0.0000086,3,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10733D,1955,165,2110015,,1250,4.2,1.2,0.0000086,2,32,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10777D,602,120.5,2110001,,,1.04,1.2,0.0000086,1,32,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-10777D,602,120.5,2110015,,,1.04,1.2,0.0000086,2,32,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-11759A,233,58,2020404,2500,1250,0.64,1.2,0.0000086,,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-11761,120,41,2020194,2500,1250,0.29,1.2,0.0000086,,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-11760A,125,58,2020010,2500,1250,0.08,1.2,0.0000086,,36,6
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-11538,63,31,2020005,2500,1250,0.02,1.2,0.0000086,1,36,14
,1003,500,01-04-2016,45,11,ACRC-501,0M-6489G,870-11538,63,31,2021199,,1250,0.02,1.2,0.0000086,2,32,14
,1003,3000,01-04-2016,30,7,,04442031AA ,04442031AA ,158,305,2021141,1580,305,1.13,1.2,0.0000086,,36,14
,1003,3000,01-04-2016,7,7,,04442032AA,04442032AA,158,305,2021141,1580,305,1.13,1.2,0.0000086,,36,14
,1003,2000,01-04-2016,7,7,,04442033AA,04442033AA,120,320,2020009,2500,1260,0.9,1.2,0.0000086,,36,14
,1003,2000,01-04-2016,7,7,,04442034AA ,04442034AA ,120,320,2020009,2500,1260,0.9,1.2,0.0000086,,36,14
,1003,5000,01-04-2016,10,7,,04442127AA ,04442127AA ,465,345,2020009,1035,465,3.78,1.2,0.0000086,,36,14
,1003,10000,01-04-2016,12,7,,S1A84387D,S1A84387D,98.5,27.17,2021364,1250,98.5,0.04,1.2,0.0000086,,36,14
,1003,10000,01-04-2016,15,7,,S1A84391D,S1A84391D,98.5,27.17,2021364,1250,98.5,0.04,1.2,0.0000086,,36,14
,1003,100000,01-04-2016,16,7,,S1A84392D,S1A84392D,98.5,27.17,2021364,1250,98.5,0.04,1.2,0.0000086,,36,14
