CIR No / Sales order no/Production order no,Plant,CIR/Sales order No./Rejection Production order requirement,Forecast Month,Required delivery  date from today (Days),Manufacturing Lead time (Repleshinshment Lead time),Kit Number,FG Material number,Semi Finished Material Number,Finished/Semi FinishedMaterial Sizes (Length & Breadth),Breadth,Raw Material  Number,Raw Material Sizes (Length),Raw Material Sizes (Breadth),Raw Material required quantity,Thickness,Density,Priority List Mentioned in BOM,Moving.Average.Price,Lead.Times
A12,1003,0,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110002,2500,1250,0.82,2,0.00000785,1,36,6
A12,1003,0,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110002,2000,1250,0.82,2,0.00000785,2,36,6
A12,1003,0,01-03-2016,45,11,ACRC-501,0M-6489G,870-11410C,294,159.4,2110006,,1250,0.82,2,0.00000785,3,33,6
A12,1003,200,01-03-2016,45,11,ACRC-502,0M-6489G,870-10734D,1955,165,2110001,1970,1250,4.14,1.5,0.00000785,1,36,6
A12,1003,200,01-03-2016,45,11,ACRC-502,0M-6489G,870-10734D,1955,165,2110001,2000,1250,4.2,1.5,0.00000785,2,36,6
A12,1003,200,01-03-2016,45,11,ACRC-502,0M-6489G,870-10734D,1955,165,2110015,,1250,4.2,1.5,0.00000785,3,33,6
A12,1003,0,01-03-2016,30,7,,04442031AA ,04442031AA ,158,305,2021141,1580,305,1.13,3,0.00000785,,36,6
A12,1003,0,01-04-2016,30,7,,04442031AA ,04442031AA ,158,305,2021141,1580,305,1.13,3,0.00000785,,36,6
A12,1003,0,01-03-2016,30,7,,0M-6489G,870-10777D,602,120.5,2110001,,,1.04,1.5,0.00000785,,36,6
A12,1003,0,01-03-2016,30,7,,0M-6489G,870-10777D,602,120.5,2110015,,1250,1.04,1.5,0.00000785,,33,6
A12,1003,0,02-03-2016,30,7,,0M-6489G,870-11401B,499.6,46.08,2110001,,,0.36,1.5,0.00000785,,36,
A12,1003,200,02-03-2016,30,7,,0M-6489G,870-10733,1955,165,2110001,1970,1250,4.2,1.5,0.00000785,1,36,6
A12,1003,200,02-03-2016,30,7,,0M-6489G,870-10733,1955,165,2110001,2000,1250,4.2,1.5,0.00000785,2,36,6
A12,1003,200,02-03-2016,30,7,,0M-6489G,870-10733,1955,165,2110015,,1250,4.2,1.5,0.00000785,2,33,6
