Material.Code,Plant,Batch,RM.Stock.with.Sizes..Length...Breadth.,Breadth,Thickness,Density,Item.Name,Ware.house.Stock,End.Band,Moving.Average.Price,Lead.Times,Sub.contractor.Stock,Min.Order.Quantity.data,
2020002,1002,ABC123,1030,855,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,2250,0,36,,,,
2020002,1002,ACB123,1500,1250,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,650,0,36,,,,
2020002,1002,BCA123,1954.5,1250,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,415,0,36,,,,
2020002,1002,BAC123,1954.5,415,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,262,0,36,,,,
2020002,1002,CBA123,1954.5,465,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,1126,0,36,,,,
2020002,1002,DEF123,2000,415,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,3240,0,36,,,,
2020002,1002,EFD123,2100,1040,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,6622,0,36,,,,
2020002,1002,ACD123,2150,1050,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,998,0,36,,,,
2020002,1002,DCA123,2150,1250,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,213,0,36,,,,
2020002,1002,FDE123,2600,1250,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,139,0,36,,,,
2020002,1002,XYZ123,2800,1250,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,557,0,36,,,,
2020002,1002,ZYX123,860,986.5,1.2,0.00000856,CRCA - 1.2mm Sht D Grade IS-513,4110,0,36,,,,
2020003,1003,ZXY123,1925,540,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,1102,0,36,,,4000,
2020003,1002,PQR123,1951,690.2,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,6609,0,36,,,,
2020003,1003,RQP123,1954.5,415,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,2132,0,36,,,4000,
2020003,1002,QPR123,1955,415,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,692,0,36,,,,
2020003,1003,PRS123,1955,690,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,1191,0,36,,,4000,
2020003,1003,SRP123,1960,1250,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,102,0,36,,,4000,
2020003,1002,TUV123,2000,1115,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,3091,0,36,,,,
2020003,1003,VTU123,2000,1219,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,1215,0,36,,,,
2020003,1002,TVU123,2000,1250,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,2002,0,36,,,,
2020003,1003,CAC123,2000,415,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,679,0,36,,,0,
2020003,1002,ACA123,2500,1250,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,750,0,36,,,,
2020003,1003,BAB123,2500,415,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,1216,0,36,,,0,
2020003,1003,XYX123,2650,1250,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,884,0,36,,,0,
2020003,1002,ZYZ123,2800,1250,1.2,0.00000856,CRCA - 1.5mm Sht D Grade IS-513,916,0,36,,,,
2020005,1002,TRT123,2070,1250,1.2,0.00000856,CRCA - 2.0mm Sht D Grade IS-513,6602,0,36,,,,
