Raw.Material..Number,Raw.Material.Sizes..Length.,Raw.Material.Sizes..Breadth.,Thickness,Density,Moving.Average.Price,Lead.Times
2110002,2500,1250,1.2,0.00000856,36,11
2110002,2000,1250,1.2,0.00000856,36,11
2110006,NA,1250,1.2,0.00000856,33,11
2110001,2500,1250,1.2,0.00000856,36,11
2110001,2000,1250,1.2,0.00000856,36,11
2110001,1970,1250,1.2,0.00000856,36,11
2110015,NA,1250,1.2,0.00000856,33,11
2021127,2500,1250,1.2,0.00000856,36,11
2020404,2500,1250,1.2,0.00000856,36,11
2020194,2500,1250,1.2,0.00000856,36,11
2020010,2500,1250,1.2,0.00000856,36,11
2020005,2500,1250,1.2,0.00000856,36,11
2021199,NA,1250,1.2,0.00000856,33,11
2021141,1580,305,1.2,0.00000856,36,11
2020009,2500,1260,1.2,0.00000856,36,11
2020009,1035,465,1.2,0.00000856,36,11
2021364,1250,98.5,1.2,0.00000856,36,11
2021163,1420,380,1.2,0.00000856,36,11
2021163,1650,380,1.2,0.00000856,36,11
2021141,1600,354,1.2,0.00000856,36,11
2021141,1420,380,1.2,0.00000856,36,11
2020002,2000,415,1.2,0.00000856,36,11
2020002,1030,855,1.2,0.00000856,36,11
2020002,1035,465,1.2,0.00000856,36,11
2020002,1110,317,1.2,0.00000856,36,11
2020002,1220,206,1.2,0.00000856,36,11
2020002,1220,424,1.2,0.00000856,36,11
2020002,1500,1250,1.2,0.00000856,36,11
2020002,1570,415,1.2,0.00000856,36,11
2020002,1954.5,1250,1.2,0.00000856,36,11
2020002,1954.5,415,1.2,0.00000856,36,11
2020002,1954.5,425,1.2,0.00000856,36,11
2020002,1954.5,465,1.2,0.00000856,36,11
2020002,1955,415,1.2,0.00000856,36,11
2020002,1955,465,1.2,0.00000856,36,11
2020002,1955,690,1.2,0.00000856,36,11
2020002,1960,465,1.2,0.00000856,36,11
2020002,1960,940,1.2,0.00000856,36,11
2020002,2000,1115,1.2,0.00000856,36,11
2020002,2000,1219,1.2,0.00000856,36,11
2020002,2000,1235,1.2,0.00000856,36,11
2020002,2000,1250,1.2,0.00000856,36,11
2020002,2030,900,1.2,0.00000856,36,11
2020002,2060,855,1.2,0.00000856,36,11
2020002,2100,1040,1.2,0.00000856,36,11
2020002,2150,1050,1.2,0.00000856,36,11
2020002,2150,1250,1.2,0.00000856,36,11
2020002,2150,900,1.2,0.00000856,36,11
2020002,2200,1000,1.2,0.00000856,36,11
2020002,2300,1000,1.2,0.00000856,36,11
2020002,2500,1250,1.2,0.00000856,36,11
2020002,2600,1250,1.2,0.00000856,36,11
2020002,2620,1250,1.2,0.00000856,36,11
2020002,2650,1250,1.2,0.00000856,36,11
2020002,2800,1250,1.2,0.00000856,36,11
2020002,3000,1250,1.2,0.00000856,36,11
2020002,860,986.5,1.2,0.00000856,36,11
2020002,986.5,860,1.2,0.00000856,36,11
2020003,1030,855,1.2,0.00000856,36,11
2020003,1110,317,1.2,0.00000856,36,11
2020003,1220,206,1.2,0.00000856,36,11
2020003,1220,424,1.2,0.00000856,36,11
2020003,1250,230.4,1.2,0.00000856,36,11
2020003,1500,1250,1.2,0.00000856,36,11
2020003,1750,1250,1.2,0.00000856,36,11
2020003,1925,1250,1.2,0.00000856,36,11
2020003,1925,540,1.2,0.00000856,36,11
2020003,1951,690.2,1.2,0.00000856,36,11
2020003,1954.5,415,1.2,0.00000856,36,11
2020003,1955,415,1.2,0.00000856,36,11
2020003,1955,690,1.2,0.00000856,36,11
2020003,1960,1250,1.2,0.00000856,36,11
2020003,1960,490,1.2,0.00000856,36,11
2020003,1980,950,1.2,0.00000856,36,11
2020003,2000,1115,1.2,0.00000856,36,11
2020003,2000,1219,1.2,0.00000856,36,11
2020003,2000,1250,1.2,0.00000856,36,11
2020003,2000,415,1.2,0.00000856,36,11
2020003,2070,1250,1.2,0.00000856,36,11
2020003,2100,1040,1.2,0.00000856,36,11
2020003,2200,1000,1.2,0.00000856,36,11
2020003,2230,1250,1.2,0.00000856,36,11
2020003,2500,1250,1.2,0.00000856,36,11
2020003,2500,1500,1.2,0.00000856,36,11
2020003,2500,415,1.2,0.00000856,36,11
2020003,2650,1250,1.2,0.00000856,36,11
2020003,2800,1250,1.2,0.00000856,36,11
2020003,3000,1250,1.2,0.00000856,36,11
2020005,1010,1260,1.2,0.00000856,36,11
2020005,1030,855,1.2,0.00000856,36,11
2020005,1110,317,1.2,0.00000856,36,11
2020005,1220,206,1.2,0.00000856,36,11
2020005,1220,424,1.2,0.00000856,36,11
2020005,1250,424,1.2,0.00000856,36,11
2020005,1317,1250,1.2,0.00000856,36,11
2020005,1930,1250,1.2,0.00000856,36,11
2020005,2000,1000,1.2,0.00000856,36,11
2020005,2000,1115,1.2,0.00000856,36,11
2020005,2000,1219,1.2,0.00000856,36,11
2020005,2000,1250,1.2,0.00000856,36,11
2020005,2000,415,1.2,0.00000856,36,11
2020005,2070,1250,1.2,0.00000856,36,11
2020005,2100,1040,1.2,0.00000856,36,11
2020005,2200,1000,1.2,0.00000856,36,11
2020005,2200,1250,1.2,0.00000856,36,11
2020005,2250,1250,1.2,0.00000856,36,11
2020005,2500,1500,1.2,0.00000856,36,11
2020005,2600,1500,1.2,0.00000856,36,11
2020005,2780,1250,1.2,0.00000856,36,11
2020005,2800,1250,1.2,0.00000856,36,11
2020005,2800,1500,1.2,0.00000856,36,11
2020005,3000,1250,1.2,0.00000856,36,11
2020005,650,1260,1.2,0.00000856,36,11
2020005,986.5,860,1.2,0.00000856,36,11
2020009,1110,317,1.2,0.00000856,36,11
2020009,120,320,1.2,0.00000856,36,11
2020009,1250,230.4,1.2,0.00000856,36,11
2020009,1250,320,1.2,0.00000856,36,11
2020009,1343,1250,1.2,0.00000856,36,11
2020009,1954.5,465,1.2,0.00000856,36,11
2020009,2000,1115,1.2,0.00000856,36,11
2020009,2000,415,1.2,0.00000856,36,11
2020009,2100,1040,1.2,0.00000856,36,11
2020009,2200,1000,1.2,0.00000856,36,11
2020009,2200,1220,1.2,0.00000856,36,11
2020009,2200,1250,1.2,0.00000856,36,11
2020009,2500,1000,1.2,0.00000856,36,11
2020009,2500,1200,1.2,0.00000856,36,11
2020009,2500,1250,1.2,0.00000856,36,11
2020009,2500,1500,1.2,0.00000856,36,11
2020009,2560,1200,1.2,0.00000856,36,11
2020009,2560,1250,1.2,0.00000856,36,11
2020009,2800,1250,1.2,0.00000856,36,11
2020009,3000,1250,1.2,0.00000856,36,11
2020009,320,120,1.2,0.00000856,36,11
2020010,2000,230,1.2,0.00000856,36,11
2020404,1152,1250,1.2,0.00000856,36,11
2020404,2500,1220,1.2,0.00000856,36,11
2020404,2800,1500,1.2,0.00000856,36,11
2021127,2500,1205,1.2,0.00000856,36,11
2021141,305,158,1.2,0.00000856,36,11
2021141,305,1580,1.2,0.00000856,36,11
2021141,308,234,1.2,0.00000856,36,11
2021141,1420,234,1.2,0.00000856,36,11
2021163,1650,234,1.2,0.00000856,36,11
2021172,354,234,1.2,0.00000856,36,11
2021114,NA,1250,1.2,0.00000856,33,11
2021115,NA,1250,1.2,0.00000856,33,11
2021179,NA,1250,1.2,0.00000856,33,11
2021166,NA,1250,1.2,0.00000856,33,11
