"","sfg","month","04442031AA _2021141-305-1580","04442032AA_2021141-305-1580","04442033AA_2020009-1260-2500","04442034AA _2020009-1260-2500","04442127AA _2020009-465-1035","870-10728E_2110002-NA-NA","870-10728E_2110006-NA-NA","870-10733D_2110001-1250-1970","870-10733D_2110001-1250-2000","870-10733D_2110015-NA-1250","870-10734D_2110001-1250-1970","870-10734D_2110001-1250-2000","870-10734D_2110015-NA-1250","870-10777D_2110001-NA-NA","870-10777D_2110015-NA-NA","870-11355A_2021127-1250-2500","870-11356A_2021127-1250-2500","870-11401B_2110001-1250-1970","870-11401B_2110001-1250-2000","870-11401B_2110001-1250-2500","870-11401B_2110015-NA-1250","870-11406_2020002-415-2000","870-11407_2020002-415-2000","870-11410C_2110002-1250-2000","870-11410C_2110002-1250-2500","870-11410C_2110006-NA-1250","870-11538_2020005-1250-2500","870-11538_2021199-NA-1250","870-11759A_2020404-1250-2500","870-11760A_2020010-1250-2500","870-11761_2020194-1250-2500","870-12872_2020003-NA-NA","S1A80792_2021141-354-1600","S1A80792_2021141-380-1420","S1A81002D_2021163-380-1420","S1A81051D_2021163-380-1650","S1A84387D_2021364-98.5-1250","S1A84391D_2021364-98.5-1250","S1A84392D_2021364-98.5-1250","S1A85168_2021141-354-1600","S1A85168_2021141-380-1420","S1A85379_2020005-NA-NA","S1A85380_2020005-NA-NA","S1A85382D_2020009-NA-NA","S1A85383D_2020009-NA-NA","S1A89220D_2021364-98.5-1250","S1A98280D_2021141-354-1600","CIR.Sales.order.No..Rejection.Production.order.requirement"
"1","04442031AA ",1,0.884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
"2","04442032AA",1,0,0.884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
"3","04442033AA",1,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"4","04442034AA ",1,0,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"5","04442127AA ",1,0,0,0,0,0.264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
"6","870-10728E",0,0,0,0,0,0,0.366300366300366,0.366300366300366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"7","870-10733D",1,0,0,0,0,0,0,0,0.238095238095238,0.238095238095238,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"8","870-10734D",0,0,0,0,0,0,0,0,0,0,0,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"9","870-10734D",1,0,0,0,0,0,0,0,0,0,0,0,0.238095238095238,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"10","870-10777D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538461538461,0.961538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"11","870-11355A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"12","870-11356A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"13","870-11401B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"14","870-11406",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127877237851662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"15","870-11407",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127877237851662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"16","870-11410C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21951219512195,1.21951219512195,1.21951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"17","870-11538",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"18","870-11759A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"19","870-11760A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"20","870-11761",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
